rank,player,club,nationality,points,year,percent,position
4.0,Ove Kindvall,Feyenoord,Sweden,30.0,1969,7.6923,
6.0,George Best,Manchester United,Northern Ireland,21.0,1969,5.3846,
7.0,Franz Beckenbauer,Bayern Munich,West Germany,18.0,1969,4.6154,
8.0,Pierino Prati,Milan,Italy,17.0,1969,4.359,
9.0,Petar Zhekov,CSKA Sofia,Bulgaria,14.0,1969,3.5897,
10.0,Jack Charlton,Leeds United,England,10.0,1969,2.5641,
11.0,Albert Shesternyov,CSKA Moscow,Soviet Union,8.0,1969,2.0513,
12.0,Dragan Džajić,Red Star Belgrade,Yugoslavia,6.0,1969,1.5385,
13.0,Francis Lee,Manchester City,England,4.0,1969,1.0256,
13.0,Martin Peters,West Ham United,England,4.0,1969,1.0256,
15.0,Jozef Adamec,Spartak Trnava,Czechoslovakia,3.0,1969,0.7692,
15.0,Bobby Charlton,Manchester United,England,3.0,1969,0.7692,
15.0,Angelo Sormani,Milan,Italy,3.0,1969,0.7692,
18.0,Ferenc Bene,Újpest,Hungary,2.0,1969,0.5128,
18.0,Andrej Kvašňák,KRC Mechelen,Czechoslovakia,2.0,1969,0.5128,
18.0,Louis Pilot,Standard Liège,Luxembourg,2.0,1969,0.5128,
18.0,Giorgos Sideris,Olympiacos,Greece,2.0,1969,0.5128,
18.0,Manuel Velázquez,Real Madrid,Spain,2.0,1969,0.5128,
23.0,Billy Bremner,Leeds United,Scotland,1.0,1969,0.2564,
23.0,Kazimierz Deyna,Legia Warsaw,Poland,1.0,1969,0.2564,
23.0,Mimis Domazos,Panathinaikos,Greece,1.0,1969,0.2564,
23.0,Gilbert Gress,VfB Stuttgart,France,1.0,1969,0.2564,
23.0,Jimmy Johnstone,Celtic,Scotland,1.0,1969,0.2564,
23.0,Włodzimierz Lubański,Górnik Zabrze,Poland,1.0,1969,0.2564,
23.0,Vladimir Muntyan,Dynamo Kyiv,Soviet Union,1.0,1969,0.2564,
23.0,Wilfried Van Moer,Standard Liège,Belgium,1.0,1969,0.2564,
23.0,Ivo Viktor,Dukla Prague,Czechoslovakia,1.0,1969,0.2564,
1.0,Gerd Müller,Bayern Munich,West Germany,77.0,1970,19.6429,
2.0,Bobby Moore,West Ham United,England,70.0,1970,17.8571,
3.0,Gigi Riva,Cagliari,Italy,65.0,1970,16.5816,
4.0,Franz Beckenbauer,Bayern Munich,West Germany,32.0,1970,8.1633,
5.0,Wolfgang Overath,1. FC Köln,West Germany,29.0,1970,7.398,
6.0,Dragan Džajić,Red Star Belgrade,Yugoslavia,24.0,1970,6.1224,
7.0,Johan Cruyff,Ajax,Netherlands,13.0,1970,3.3163,
8.0,Gordon Banks,Stoke City,England,8.0,1970,2.0408,
8.0,Sandro Mazzola,Internazionale,Italy,8.0,1970,2.0408,
10.0,Rinus Israël,Feyenoord,Netherlands,7.0,1970,1.7857,
10.0,Gianni Rivera,Milan,Italy,7.0,1970,1.7857,
10.0,Uwe Seeler,Hamburger SV,West Germany,7.0,1970,1.7857,
10.0,Albert Shesternyov,CSKA Moscow,Soviet Union,7.0,1970,1.7857,
14.0,Angelo Domenghini,Cagliari,Italy,4.0,1970,1.0204,
14.0,Ove Kindvall,Feyenoord,Sweden,4.0,1970,1.0204,
14.0,Francis Lee,Manchester City,England,4.0,1970,1.0204,
14.0,Willem van Hanegem,Feyenoord,Netherlands,4.0,1970,1.0204,
18.0,Alan Ball,Everton,England,3.0,1970,0.7653,
18.0,Terry Cooper,Leeds United,England,3.0,1970,0.7653,
18.0,Giacinto Facchetti,Internazionale,Italy,3.0,1970,0.7653,
18.0,Geoff Hurst,West Ham United,England,3.0,1970,0.7653,
22.0,Eusébio,Benfica,Portugal,2.0,1970,0.5102,
22.0,Josip Skoblar,Marseille,Yugoslavia,2.0,1970,0.5102,
24.0,Cornel Dinu,Dinamo București,Romania,1.0,1970,0.2551,
24.0,Jean Djorkaeff,Paris Saint-Germain,France,1.0,1970,0.2551,
24.0,Florea Dumitrache,Dinamo București,Romania,1.0,1970,0.2551,
24.0,Franz Hasil,Feyenoord,Austria,1.0,1970,0.2551,
24.0,Hans-Jürgen Kreische,Dynamo Dresden,East Germany,1.0,1970,0.2551,
24.0,Carles Rexach,Barcelona,Spain,1.0,1970,0.2551,
1.0,Johan Cruyff,Ajax,Netherlands,116.0,1971,29.7436,
2.0,Sandro Mazzola,Internazionale,Italy,57.0,1971,14.6154,
3.0,George Best,Manchester United,Northern Ireland,56.0,1971,14.359,
4.0,Günter Netzer,Borussia Mönchengladbach,West Germany,30.0,1971,7.6923,
5.0,Franz Beckenbauer,Bayern Munich,West Germany,27.0,1971,6.9231,
6.0,Gerd Müller,Bayern Munich,West Germany,18.0,1971,4.6154,
6.0,Josip Skoblar,Marseille,Yugoslavia,18.0,1971,4.6154,
8.0,Martin Chivers,Tottenham Hotspur,England,12.0,1971,3.0769,
9.0,Piet Keizer,Ajax,Netherlands,9.0,1971,2.3077,
10.0,Bobby Moore,West Ham United,England,7.0,1971,1.7949,
10.0,Ferenc Bene,Újpest,Hungary,7.0,1971,1.7949,
12.0,Yevhen Rudakov,Dynamo Kyiv,Soviet Union,6.0,1971,1.5385,
13.0,Giacinto Facchetti,Internazionale,Italy,4.0,1971,1.0256,
13.0,Mimis Domazos,Panathinaikos,Greece,4.0,1971,1.0256,
15.0,Pirri,Real Madrid,Spain,3.0,1971,0.7692,
15.0,Dragan Džajić,Red Star Belgrade,Yugoslavia,3.0,1971,0.7692,
15.0,Berti Vogts,Borussia Mönchengladbach,West Germany,3.0,1971,0.7692,
18.0,Terry Cooper,Leeds United,England,2.0,1971,0.5128,
18.0,Francis Lee,Manchester City,England,2.0,1971,0.5128,
18.0,Wolfgang Overath,1. FC Köln,West Germany,2.0,1971,0.5128,
18.0,Wilfried Van Moer,Standard Liège,Belgium,2.0,1971,0.5128,
22.0,Bobby Charlton,Manchester United,England,1.0,1971,0.2564,
22.0,Albert Shesternyov,CSKA Moscow,Soviet Union,1.0,1971,0.2564,
1.0,Franz Beckenbauer,Bayern Munich,West Germany,81.0,1972,21.6,
2.0,Gerd Müller,Bayern Munich,West Germany,79.0,1972,21.0667,
2.0,Günter Netzer,Borussia Mönchengladbach,West Germany,79.0,1972,21.0667,
4.0,Johan Cruyff,Ajax,Netherlands,73.0,1972,19.4667,
5.0,Piet Keizer,Ajax,Netherlands,13.0,1972,3.4667,
6.0,Kazimierz Deyna,Legia Warsaw,Poland,6.0,1972,1.6,
7.0,Gordon Banks,Stoke City,England,4.0,1972,1.0667,
7.0,Barry Hulshoff,Ajax,Netherlands,4.0,1972,1.0667,
7.0,Włodzimierz Lubański,Górnik Zabrze,Poland,4.0,1972,1.0667,
7.0,Bobby Moore,West Ham United,England,4.0,1972,1.0667,
11.0,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,3.0,1972,0.8,
11.0,Murtaz Khurtsilava,Dinamo Tbilisi,Soviet Union,3.0,1972,0.8,
11.0,Gerrie Mühren,Ajax,Netherlands,3.0,1972,0.8,
11.0,Paul Van Himst,Anderlecht,Belgium,3.0,1972,0.8,
15.0,Antal Dunai,Újpest,Hungary,2.0,1972,0.5333,
15.0,Eusébio,Benfica,Portugal,2.0,1972,0.5333,
15.0,Sandro Mazzola,Internazionale,Italy,2.0,1972,0.5333,
18.0,Amancio,Real Madrid,Spain,1.0,1972,0.2667,
18.0,Paul Breitner,Bayern Munich,West Germany,1.0,1972,0.2667,
18.0,Giorgio Chinaglia,Lazio,Italy,1.0,1972,0.2667,
18.0,Dragan Džajić,Red Star Belgrade,Yugoslavia,1.0,1972,0.2667,
18.0,Johnny Giles,Leeds United,Republic of Ireland,1.0,1972,0.2667,
18.0,John Greig,Rangers,Scotland,1.0,1972,0.2667,
18.0,Johan Neeskens,Ajax,Netherlands,1.0,1972,0.2667,
18.0,Gianni Rivera,Milan,Italy,1.0,1972,0.2667,
18.0,Yevhen Rudakov,Dynamo Kyiv,Soviet Union,1.0,1972,0.2667,
18.0,Marius Trésor,Marseille,France,1.0,1972,0.2667,
1.0,Johan Cruyff,Ajax~~~Barcelona,Netherlands,96.0,1973,26.6667,
2.0,Dino Zoff,Juventus,Italy,47.0,1973,13.0556,
3.0,Gerd Müller,Bayern Munich,West Germany,44.0,1973,12.2222,
4.0,Franz Beckenbauer,Bayern Munich,West Germany,30.0,1973,8.3333,
5.0,Billy Bremner,Leeds United,Scotland,22.0,1973,6.1111,
6.0,Kazimierz Deyna,Legia Warsaw,Poland,16.0,1973,4.4444,
7.0,Eusébio,Benfica,Portugal,14.0,1973,3.8889,
8.0,Gianni Rivera,Milan,Italy,12.0,1973,3.3333,
9.0,Ralf Edström,Åtvidabergs FF~~~PSV Eindhoven,Sweden,11.0,1973,3.0556,
9.0,Günter Netzer,Borussia Mönchengladbach~~~Real Madrid,West Germany,11.0,1973,3.0556,
11.0,Ulrich Hoeneß,Bayern Munich,West Germany,8.0,1973,2.2222,
12.0,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,7.0,1973,1.9444,
12.0,Giacinto Facchetti,Internazionale,Italy,7.0,1973,1.9444,
14.0,Juan Manuel Asensi,Barcelona,Spain,5.0,1973,1.3889,
14.0,Sandro Mazzola,Internazionale,Italy,5.0,1973,1.3889,
14.0,Jan Tomaszewski,ŁKS Łódź,Poland,5.0,1973,1.3889,
17.0,Włodzimierz Lubański,Górnik Zabrze,Poland,4.0,1973,1.1111,
18.0,Wolfgang Overath,1. FC Köln,West Germany,3.0,1973,0.8333,
19.0,Barry Hulshoff,Ajax,Netherlands,2.0,1973,0.5556,
19.0,Hans-Jürgen Kreische,Dynamo Dresden,East Germany,2.0,1973,0.5556,
19.0,Bobby Moore,West Ham United,England,2.0,1973,0.5556,
19.0,Roland Sandberg,Åtvidabergs FF~~~1. FC Kaiserslautern,Sweden,2.0,1973,0.5556,
23.0,Vladislav Bogićević,Red Star Belgrade,Yugoslavia,1.0,1973,0.2778,
23.0,Dragan Džajić,Red Star Belgrade,Yugoslavia,1.0,1973,0.2778,
23.0,Pat Jennings,Tottenham Hotspur,Northern Ireland,1.0,1973,0.2778,
23.0,Denis Law,Manchester City,Scotland,1.0,1973,0.2778,
23.0,Ivo Viktor,Dukla Prague,Czechoslovakia,1.0,1973,0.2778,
1.0,Johan Cruyff,Barcelona,Netherlands,116.0,1974,29.7436,
2.0,Franz Beckenbauer,Bayern Munich,West Germany,105.0,1974,26.9231,
3.0,Kazimierz Deyna,Legia Warsaw,Poland,35.0,1974,8.9744,
4.0,Paul Breitner,Bayern Munich,West Germany,32.0,1974,8.2051,
5.0,Johan Neeskens,Barcelona,Netherlands,21.0,1974,5.3846,
6.0,Grzegorz Lato,Stal Mielec,Poland,16.0,1974,4.1026,
7.0,Gerd Müller,Bayern Munich,West Germany,14.0,1974,3.5897,
8.0,Robert Gadocha,Legia Warsaw,Poland,11.0,1974,2.8205,
9.0,Billy Bremner,Leeds United,Scotland,9.0,1974,2.3077,
10.0,Ralf Edström,PSV Eindhoven,Sweden,4.0,1974,1.0256,
10.0,Jürgen Sparwasser,1. FC Magdeburg,East Germany,4.0,1974,1.0256,
10.0,Berti Vogts,Borussia Mönchengladbach,West Germany,4.0,1974,1.0256,
13.0,Ronnie Hellström,1. FC Kaiserslautern,Sweden,3.0,1974,0.7692,
13.0,Jan Tomaszewski,ŁKS Łódź,Poland,3.0,1974,0.7692,
15.0,José Altafini,Juventus,Italy,2.0,1974,0.5128,
15.0,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,2.0,1974,0.5128,
15.0,Jerzy Gorgoń,Górnik Zabrze,Poland,2.0,1974,0.5128,
15.0,Sepp Maier,Bayern Munich,West Germany,2.0,1974,0.5128,
19.0,Oleg Blokhin,Dynamo Kyiv,Soviet Union,1.0,1974,0.2564,
19.0,Rainer Bonhof,Borussia Mönchengladbach,West Germany,1.0,1974,0.2564,
19.0,Jean-Marc Guillou,Angers,France,1.0,1974,0.2564,
19.0,Uli Hoeneß,Bayern Munich,West Germany,1.0,1974,0.2564,
19.0,Branko Oblak,Hajduk Split,Yugoslavia,1.0,1974,0.2564,
1.0,Oleg Blokhin,Dynamo Kyiv,Soviet Union,122.0,1975,31.2821,
2.0,Franz Beckenbauer,Bayern Munich,West Germany,42.0,1975,10.7692,
3.0,Johan Cruyff,Barcelona,Netherlands,27.0,1975,6.9231,
4.0,Berti Vogts,Borussia Mönchengladbach,West Germany,25.0,1975,6.4103,
5.0,Sepp Maier,Bayern Munich,West Germany,20.0,1975,5.1282,
6.0,Ruud Geels,Ajax,Netherlands,18.0,1975,4.6154,
7.0,Jupp Heynckes,Borussia Mönchengladbach,West Germany,17.0,1975,4.359,
8.0,Paul Breitner,Real Madrid,West Germany,14.0,1975,3.5897,
9.0,Colin Todd,Derby County,England,12.0,1975,3.0769,
10.0,Dudu Georgescu,Dinamo București,Romania,11.0,1975,2.8205,
11.0,Peter Lorimer,Leeds United,Scotland,9.0,1975,2.3077,
11.0,Branko Oblak,Schalke 04,Yugoslavia,9.0,1975,2.3077,
11.0,Pirri,Real Madrid,Spain,9.0,1975,2.3077,
14.0,Ralf Edström,PSV Eindhoven,Sweden,6.0,1975,1.5385,
14.0,Günter Netzer,Real Madrid,West Germany,6.0,1975,1.5385,
14.0,Dino Zoff,Juventus,Italy,6.0,1975,1.5385,
17.0,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,4.0,1975,1.0256,
17.0,Josip Katalinski,Nice,Yugoslavia,4.0,1975,1.0256,
17.0,Grzegorz Lato,Stal Mielec,Poland,4.0,1975,1.0256,
17.0,Gerd Müller,Bayern Munich,West Germany,4.0,1975,1.0256,
17.0,Ivo Viktor,Dukla Prague,Czechoslovakia,4.0,1975,1.0256,
22.0,Ján Pivarník,Slovan Bratislava,Czechoslovakia,3.0,1975,0.7692,
23.0,Leonid Buryak,Dynamo Kyiv,Soviet Union,2.0,1975,0.5128,
23.0,Jürgen Croy,Sachsenring Zwickau,East Germany,2.0,1975,0.5128,
23.0,Johan Neeskens,Barcelona,Netherlands,2.0,1975,0.5128,
23.0,Jean-Marc Guillou,Nice,France,2.0,1975,0.5128,
27.0,João Alves,Boavista,Portugal,1.0,1975,0.2564,
27.0,Dragan Džajić,Bastia,Yugoslavia,1.0,1975,0.2564,
27.0,Giacinto Facchetti,Internazionale,Italy,1.0,1975,0.2564,
27.0,Don Givens,Queens Park Rangers,Republic of Ireland,1.0,1975,0.2564,
27.0,Pat Jennings,Tottenham Hotspur,Northern Ireland,1.0,1975,0.2564,
27.0,Allan Simonsen,Borussia Mönchengladbach,Denmark,1.0,1975,0.2564,
1.0,Franz Beckenbauer,Bayern Munich,West Germany,91.0,1976,23.3333,
2.0,Rob Rensenbrink,Anderlecht,Netherlands,75.0,1976,19.2308,
3.0,Ivo Viktor,Dukla Prague,Czechoslovakia,52.0,1976,13.3333,
4.0,Kevin Keegan,Liverpool,England,32.0,1976,8.2051,
5.0,Michel Platini,Nancy,France,19.0,1976,4.8718,
6.0,Anton Ondruš,Slovan Bratislava,Czechoslovakia,16.0,1976,4.1026,
7.0,Johan Cruyff,Barcelona,Netherlands,12.0,1976,3.0769,
7.0,Ivan Ćurković,Saint-Étienne,Yugoslavia,12.0,1976,3.0769,
9.0,Rainer Bonhof,Borussia Mönchengladbach,West Germany,9.0,1976,2.3077,
9.0,Gerd Müller,Bayern Munich,West Germany,9.0,1976,2.3077,
9.0,Marián Masný,Slovan Bratislava,Czechoslovakia,9.0,1976,2.3077,
12.0,Franco Causio,Juventus,Italy,7.0,1976,1.7949,
13.0,Berti Vogts,Borussia Mönchengladbach,West Germany,6.0,1976,1.5385,
14.0,Tibor Nyilasi,Ferencváros,Hungary,5.0,1976,1.2821,
15.0,Roberto Bettega,Juventus,Italy,4.0,1976,1.0256,
15.0,Jürgen Croy,Sachsenring Zwickau,East Germany,4.0,1976,1.0256,
15.0,Dudu Georgescu,Dinamo București,Romania,4.0,1976,1.0256,
15.0,Jaroslav Pollák,VSS Košice,Czechoslovakia,4.0,1976,1.0256,
19.0,Oleg Blokhin,Dinamo Kyiv,Soviet Union,3.0,1976,0.7692,
19.0,Joachim Streich,1. FC Magdeburg,East Germany,3.0,1976,0.7692,
21.0,Gérard Janvion,Saint-Étienne,France,2.0,1976,0.5128,
21.0,Dieter Müller,1. FC Köln,West Germany,2.0,1976,0.5128,
21.0,Dominique Rocheteau,Saint-Étienne,France,2.0,1976,0.5128,
21.0,Santillana,Real Madrid,Spain,2.0,1976,0.5128,
21.0,Benny Wendt,Tennis Borussia Berlin,Sweden,2.0,1976,0.5128,
26.0,Dominique Bathenay,Saint-Étienne,France,1.0,1976,0.2564,
26.0,Jupp Heynckes,Borussia Mönchengladbach,West Germany,1.0,1976,0.2564,
26.0,Ali Kemal,Trabzonspor,Turkey,1.0,1976,0.2564,
26.0,Dino Zoff,Juventus,Italy,1.0,1976,0.2564,
1.0,Allan Simonsen,Borussia Mönchengladbach,Denmark,74.0,1977,18.9744,
2.0,Kevin Keegan,Liverpool~~~Hamburger SV,England,71.0,1977,18.2051,
3.0,Michel Platini,Nancy,France,70.0,1977,17.9487,
4.0,Roberto Bettega,Juventus,Italy,39.0,1977,10.0,
5.0,Johan Cruyff,Barcelona,Netherlands,23.0,1977,5.8974,
6.0,Klaus Fischer,Schalke 04,West Germany,21.0,1977,5.3846,
7.0,Tibor Nyilasi,Ferencváros,Hungary,13.0,1977,3.3333,
7.0,Rob Rensenbrink,Anderlecht,Netherlands,13.0,1977,3.3333,
9.0,Dudu Georgescu,Dinamo București,Romania,6.0,1977,1.5385,
10.0,Emlyn Hughes,Liverpool,England,5.0,1977,1.2821,
10.0,Steve Heighway,Liverpool,Ireland,5.0,1977,1.2821,
10.0,Berti Vogts,Borussia Mönchengladbach,West Germany,5.0,1977,1.2821,
13.0,Dominique Bathenay,Saint-Étienne,France,4.0,1977,1.0256,
13.0,Trevor Brooking,West Ham United,England,4.0,1977,1.0256,
13.0,Anders Linderoth,Marseille,Sweden,4.0,1977,1.0256,
13.0,Ronnie Hellström,1. FC Kaiserslautern,Sweden,4.0,1977,1.0256,
13.0,Franco Causio,Juventus,Italy,4.0,1977,1.0256,
18.0,Ruud Krol,Ajax,Netherlands,3.0,1977,0.7692,
18.0,Marius Trésor,Marseille,France,3.0,1977,0.7692,
20.0,Rainer Bonhof,Borussia Mönchengladbach,West Germany,2.0,1977,0.5128,
20.0,Heinz Flohe,1. FC Köln,West Germany,2.0,1977,0.5128,
20.0,Ruud Geels,Ajax,Netherlands,2.0,1977,0.5128,
20.0,Dieter Müller,1. FC Köln,West Germany,2.0,1977,0.5128,
20.0,Pirri,Real Madrid,Spain,2.0,1977,0.5128,
20.0,Peter Shilton,Nottingham Forest,England,2.0,1977,0.5128,
26.0,Giancarlo Antognoni,Fiorentina,Italy,1.0,1977,0.2564,
26.0,Jürgen Grabowski,Eintracht Frankfurt,West Germany,1.0,1977,0.2564,
26.0,Gérard Janvion,Saint-Étienne,France,1.0,1977,0.2564,
26.0,Ray Kennedy,Liverpool,England,1.0,1977,0.2564,
26.0,Hans Krankl,Rapid Wien,Austria,1.0,1977,0.2564,
26.0,Gordon McQueen,Leeds United,Scotland,1.0,1977,0.2564,
26.0,András Törőcsik,Újpest,Hungary,1.0,1977,0.2564,
1.0,Kevin Keegan,Hamburger SV,England,87.0,1978,22.3077,
2.0,Hans Krankl,Barcelona,Austria,81.0,1978,20.7692,
3.0,Rob Rensenbrink,Anderlecht,Netherlands,50.0,1978,12.8205,
4.0,Roberto Bettega,Juventus,Italy,28.0,1978,7.1795,
5.0,Paolo Rossi,L.R. Vicenza,Italy,23.0,1978,5.8974,
6.0,Ronnie Hellström,Kaiserslautern,Sweden,20.0,1978,5.1282,
6.0,Ruud Krol,Ajax,Netherlands,20.0,1978,5.1282,
8.0,Kenny Dalglish,Liverpool,Scotland,10.0,1978,2.5641,
8.0,Allan Simonsen,Borussia Mönchengladbach,Denmark,10.0,1978,2.5641,
10.0,Peter Shilton,Nottingham Forest,England,9.0,1978,2.3077,
11.0,Arie Haan,Anderlecht,Netherlands,7.0,1978,1.7949,
12.0,René van de Kerkhof,PSV Eindhoven,Netherlands,6.0,1978,1.5385,
13.0,Antonio Cabrini,Juventus,Italy,5.0,1978,1.2821,
13.0,Willy van de Kerkhof,PSV Eindhoven,Netherlands,5.0,1978,1.2821,
15.0,Johan Cruyff,Barcelona,Netherlands,4.0,1978,1.0256,
15.0,Graeme Souness,Liverpool,Scotland,4.0,1978,1.0256,
15.0,Zdeněk Nehoda,Dukla Prague,Czechoslovakia,4.0,1978,1.0256,
18.0,Marián Masný,Slovan Bratislava,Czechoslovakia,3.0,1978,0.7692,
19.0,Archie Gemmill,Nottingham Forest,Scotland,2.0,1978,0.5128,
19.0,Marius Trésor,Marseille,France,2.0,1978,0.5128,
21.0,João Alves,Benfica,Portugal,1.0,1978,0.2564,
21.0,Rainer Bonhof,Valencia,West Germany,1.0,1978,0.2564,
21.0,Zbigniew Boniek,Widzew Łódź,Poland,1.0,1978,0.2564,
21.0,Franco Causio,Juventus,Italy,1.0,1978,0.2564,
21.0,Hansi Müller,VfB Stuttgart,West Germany,1.0,1978,0.2564,
21.0,Johan Neeskens,Barcelona,Netherlands,1.0,1978,0.2564,
21.0,Michel Platini,Nancy,France,1.0,1978,0.2564,
21.0,Karl-Heinz Rummenigge,Bayern Munich,West Germany,1.0,1978,0.2564,
21.0,Didier Six,Marseille,France,1.0,1978,0.2564,
21.0,François Van Der Elst,Anderlecht,Belgium,1.0,1978,0.2564,
1.0,Kevin Keegan,Hamburger SV,England,118.0,1979,30.2564,
2.0,Karl-Heinz Rummenigge,Bayern Munich,West Germany,52.0,1979,13.3333,
3.0,Ruud Krol,Ajax,Netherlands,41.0,1979,10.5128,
4.0,Manfred Kaltz,Hamburger SV,West Germany,27.0,1979,6.9231,
5.0,Michel Platini,Saint-Étienne,France,23.0,1979,5.8974,
6.0,Paolo Rossi,Perugia,Italy,16.0,1979,4.1026,
7.0,Trevor Francis,Nottingham Forest,England,13.0,1979,3.3333,
7.0,Liam Brady,Arsenal,Republic of Ireland,13.0,1979,3.3333,
9.0,Zbigniew Boniek,Widzew Łódź,Poland,8.0,1979,2.0513,
9.0,Zdeněk Nehoda,Dukla Prague,Czechoslovakia,8.0,1979,2.0513,
11.0,Kenny Dalglish,Liverpool,Scotland,7.0,1979,1.7949,
11.0,Allan Simonsen,Barcelona,Denmark,7.0,1979,1.7949,
13.0,Paul Breitner,Bayern Munich,West Germany,6.0,1979,1.5385,
13.0,Kees Kist,AZ,Netherlands,6.0,1979,1.5385,
15.0,Johnny Rep,Saint-Étienne,Netherlands,5.0,1979,1.2821,
15.0,Tony Woodcock,1. FC Köln,England,5.0,1979,1.2821,
15.0,Hans Krankl,Barcelona,Austria,5.0,1979,1.2821,
15.0,Safet Sušić,FK Sarajevo,SFR Yugoslavia,5.0,1979,1.2821,
19.0,Uli Stielike,Real Madrid,West Germany,4.0,1979,1.0256,
20.0,Marius Trésor,Marseille,France,3.0,1979,0.7692,
21.0,João Alves,Paris Saint-Germain,Portugal,2.0,1979,0.5128,
21.0,Franco Causio,Juventus,Italy,2.0,1979,0.5128,
21.0,Gordon McQueen,Manchester United,Scotland,2.0,1979,0.5128,
21.0,René van de Kerkhof,PSV Eindhoven,Netherlands,2.0,1979,0.5128,
21.0,Bruno Pezzey,Eintracht Frankfurt,Austria,2.0,1979,0.5128,
21.0,Simon Tahamata,Ajax,Netherlands,2.0,1979,0.5128,
27.0,Juan Manuel Asensi,Barcelona,Spain,1.0,1979,0.2564,
27.0,Trevor Brooking,West Ham United,England,1.0,1979,0.2564,
27.0,Ronnie Hellström,Kaiserslautern,Sweden,1.0,1979,0.2564,
27.0,Hansi Müller,VfB Stuttgart,West Germany,1.0,1979,0.2564,
27.0,Antonín Panenka,Bohemians 1905,Czechoslovakia,1.0,1979,0.2564,
27.0,Walter Schachner,Austria Wien,Austria,1.0,1979,0.2564,
1.0,Karl-Heinz Rummenigge,Bayern Munich,West Germany,122.0,1980,32.5333,
2.0,Bernd Schuster,Barcelona,West Germany,34.0,1980,9.0667,
3.0,Michel Platini,Saint-Étienne,France,33.0,1980,8.8,
4.0,Wilfried Van Moer,Beveren,Belgium,27.0,1980,7.2,
5.0,Jan Ceulemans,Club Brugge,Belgium,20.0,1980,5.3333,
6.0,Horst Hrubesch,Hamburger SV,West Germany,18.0,1980,4.8,
7.0,Herbert Prohaska,Internazionale,Austria,14.0,1980,3.7333,
8.0,Hansi Müller,VfB Stuttgart,West Germany,11.0,1980,2.9333,
8.0,Liam Brady,Juventus,Republic of Ireland,11.0,1980,2.9333,
10.0,Manfred Kaltz,Hamburger SV,West Germany,10.0,1980,2.6667,
11.0,Erwin Vandenbergh,Lierse,Belgium,9.0,1980,2.4,
11.0,Luis Arconada,Real Sociedad,Spain,9.0,1980,2.4,
11.0,Dino Zoff,Juventus,Italy,9.0,1980,2.4,
14.0,Kenny Dalglish,Liverpool,Scotland,5.0,1980,1.3333,
14.0,Bruno Pezzey,Eintracht Frankfurt,Austria,5.0,1980,1.3333,
16.0,Terry McDermott,Liverpool,England,4.0,1980,1.0667,
16.0,Viv Anderson,Nottingham Forest,England,4.0,1980,1.0667,
16.0,Ruud Krol,Napoli,Netherlands,4.0,1980,1.0667,
16.0,Francesco Graziani,Torino,Italy,4.0,1980,1.0667,
20.0,Ladislav Vízek,Dukla Prague,Czechoslovakia,3.0,1980,0.8,
20.0,Manuel Bento,Benfica,Portugal,3.0,1980,0.8,
22.0,Frank Arnesen,Ajax,Denmark,2.0,1980,0.5333,
22.0,Antonín Panenka,Bohemians 1905,Czechoslovakia,2.0,1980,0.5333,
22.0,David O'Leary,Arsenal,Republic of Ireland,2.0,1980,0.5333,
22.0,Vladimir Petrović,Red Star Belgrade,SFR Yugoslavia,2.0,1980,0.5333,
22.0,Zbigniew Boniek,Widzew Łódź,Poland,2.0,1980,0.5333,
27.0,Giancarlo Antognoni,Fiorentina,Italy,1.0,1980,0.2667,
27.0,Alessandro Altobelli,Internazionale,Italy,1.0,1980,0.2667,
27.0,Marcel Răducanu,Steaua București,Romania,1.0,1980,0.2667,
27.0,Trevor Francis,Nottingham Forest,England,1.0,1980,0.2667,
27.0,Zdeněk Nehoda,Dukla Prague,Czechoslovakia,1.0,1980,0.2667,
27.0,Peter Shilton,Nottingham Forest,England,1.0,1980,0.2667,
1.0,Karl-Heinz Rummenigge,Bayern Munich,West Germany,106.0,1981,27.1795,
2.0,Paul Breitner,Bayern Munich,West Germany,64.0,1981,16.4103,
3.0,Bernd Schuster,Barcelona,West Germany,39.0,1981,10.0,
4.0,Michel Platini,Saint-Étienne,France,36.0,1981,9.2308,
5.0,Oleg Blokhin,Dinamo Kyiv,Soviet Union,14.0,1981,3.5897,
6.0,Dino Zoff,Juventus,Italy,13.0,1981,3.3333,
7.0,Ramaz Shengelia,Dinamo Tbilisi,Soviet Union,10.0,1981,2.5641,
8.0,Alexsandr Chivadze,Dinamo Tbilisi,Soviet Union,9.0,1981,2.3077,
9.0,Liam Brady,Juventus,Republic of Ireland,7.0,1981,1.7949,
9.0,John Wark,Ipswich Town,Scotland,7.0,1981,1.7949,
11.0,David Kipiani,Dinamo Tbilisi,Soviet Union,6.0,1981,1.5385,
11.0,András Törőcsik,Újpest,Hungary,6.0,1981,1.5385,
11.0,Zbigniew Boniek,Widzew Łódź,Poland,6.0,1981,1.5385,
11.0,Maxime Bossis,Nantes,France,6.0,1981,1.5385,
11.0,Bruno Pezzey,Eintracht Frankfurt,Austria,6.0,1981,1.5385,
16.0,Horst Hrubesch,Hamburger SV,West Germany,5.0,1981,1.2821,
16.0,Ruud Krol,Napoli,Netherlands,5.0,1981,1.2821,
